metric,language,system_a,system_b,wilcoxon_statistic,p_value,cohens_d,n
Recall@5,en,bm25,dense,3241.5,0.270297716319847,0.14758122556190367,120
Recall@5,en,bm25,hybrid,3630.0,1.0,0.0,120
Recall@5,en,dense,hybrid,3231.0,0.24987061657141063,-0.179328231475178,120
MRR@10,en,bm25,dense,3456.5,0.6425093509957656,-0.01692526023448625,120
MRR@10,en,bm25,hybrid,3210.5,0.250811424101959,-0.1042983477683633,120
MRR@10,en,dense,hybrid,2996.5,0.08687960522998327,-0.06330651413283088,120
nDCG@10,en,bm25,dense,3159.5,0.20050048204294812,0.07460760116891839,120
nDCG@10,en,bm25,hybrid,3415.5,0.5528058537996183,-0.08375849787936689,120
nDCG@10,en,dense,hybrid,2704.0,0.010097705236463654,-0.21747009532498687,120
Recall@5,uz,bm25,dense,3097.5,0.13837476653294015,0.17441107448750365,120
Recall@5,uz,bm25,hybrid,3630.0,1.0,0.0,120
Recall@5,uz,dense,hybrid,3077.5,0.11783855035370508,-0.2076437863962837,120
MRR@10,uz,bm25,dense,3062.5,0.1176995835626318,0.2287822358615371,120
MRR@10,uz,bm25,hybrid,3305.5,0.3632248269601577,0.12461517067215694,120
MRR@10,uz,dense,hybrid,3098.0,0.14175882949049098,-0.23370890645244188,120
nDCG@10,uz,bm25,dense,3116.0,0.1571117979330815,0.1921848013957157,120
nDCG@10,uz,bm25,hybrid,3333.0,0.40530221607204664,0.030148780987242246,120
nDCG@10,uz,dense,hybrid,3075.5,0.12567221502342596,-0.2632298181681978,120
